Run,Seed,Condition,Landmark,Mean error (px),PCK@5 (%)
1,11,Strong Gaussian Blur,abdomen,0.8404070132608276,100.0
1,11,Strong Gaussian Blur,leg_ml_in,1.503623073806089,99.7624703087886
1,11,Strong Gaussian Blur,leg_ml_c,2.039025977186694,97.62470308788599
1,11,Strong Gaussian Blur, leg_mr_in,10.483629942022326,4.513064133016627
1,11,Strong Gaussian Blur,leg_mr_c,6.194378448002722,43.23040380047506
1,11,Strong Gaussian Blur,leg_fl_tip,17.110809531679962,4.038004750593824
1,11,Strong Gaussian Blur,leg_ml_tip,10.38480352537093,21.140142517814727
1,11,Strong Gaussian Blur,leg_bl_tip,11.866449861368514,8.551068883610451
1,11,Strong Gaussian Blur,leg_br_tip,12.602501502248236,9.97624703087886
1,11,Strong Gaussian Blur,leg_mr_tip,13.307690547901064,12.114014251781473
1,11,Strong Gaussian Blur,leg_fr_tip,20.84688101631592,1.9002375296912115
1,11,Gaussian Noise,head_fc,15.81036722025304,47.980997624703086
1,11,Gaussian Noise,head_bl,2.570209373417516,97.14964370546319
1,11,Gaussian Noise,head_br,8.19027979974877,27.078384798099762
1,11,Gaussian Noise,thorax_fr,8.158400840146452,17.81472684085511
1,11,Gaussian Noise,thorax_fl,1.201346974808806,98.57482185273159
1,11,Gaussian Noise,thorax_bc,3.792238263992351,85.98574821852732
1,11,Gaussian Noise,abdomen,7.3996433636116805,76.24703087885986
1,11,Gaussian Noise,leg_ml_in,1.6229645435289801,98.33729216152018
1,11,Gaussian Noise,leg_ml_c,2.340730760717582,90.02375296912113
1,11,Gaussian Noise, leg_mr_in,8.94825162765309,30.16627078384798
1,11,Gaussian Noise,leg_mr_c,11.26614599155933,12.826603325415679
1,11,Gaussian Noise,leg_fl_tip,16.042236524921204,5.225653206650831
1,11,Gaussian Noise,leg_ml_tip,21.13175245095001,0.7125890736342043
1,11,Gaussian Noise,leg_bl_tip,42.14495605560966,1.187648456057007
1,11,Gaussian Noise,leg_br_tip,29.767074873708395,1.187648456057007
1,11,Gaussian Noise,leg_mr_tip,67.27614548024108,0.0
1,11,Gaussian Noise,leg_fr_tip,20.774620934269095,0.0
1,11,Brightness,head_fc,0.7657184757979736,100.0
1,11,Brightness,head_bl,1.2274662685861817,99.7624703087886
1,11,Brightness,head_br,1.0159420919459254,100.0
1,11,Brightness,thorax_fr,1.887278659801209,99.7624703087886
1,11,Brightness,thorax_fl,0.7799795715836823,100.0
1,11,Brightness,thorax_bc,0.8134948990495519,100.0
1,11,Brightness,abdomen,1.2927673592195086,100.0
1,11,Brightness,leg_ml_in,1.2321912001760558,100.0
1,11,Brightness,leg_ml_c,1.4695085966629147,98.57482185273159
1,11,Brightness, leg_mr_in,1.3213682025946707,99.7624703087886
1,11,Brightness,leg_mr_c,1.8350586200768497,99.2874109263658
1,11,Brightness,leg_fl_tip,5.9964260731928345,52.01900237529691
1,11,Brightness,leg_ml_tip,7.710768991259836,41.09263657957244
1,11,Brightness,leg_bl_tip,7.829900261012118,35.62945368171022
1,11,Brightness,leg_br_tip,7.576287543396205,37.76722090261283
1,11,Brightness,leg_mr_tip,18.462457235533076,39.19239904988123
1,11,Brightness,leg_fr_tip,7.369928313730904,45.605700712589076
1,11,Contrast,head_fc,0.7257319251059811,100.0
1,11,Contrast,head_bl,1.812568266292627,100.0
1,11,Contrast,head_br,0.9860119916254,100.0
1,11,Contrast,thorax_fr,1.7912977137373831,100.0
1,11,Contrast,thorax_fl,0.9481642461509987,100.0
1,11,Contrast,thorax_bc,0.9837864153138299,100.0
1,11,Contrast,abdomen,0.7406352550760372,100.0
1,11,Contrast,leg_ml_in,0.9997731175590927,100.0
1,11,Contrast,leg_ml_c,1.3434373471949,98.812351543943
1,11,Contrast, leg_mr_in,2.3563392075809473,98.33729216152018
