Run,Seed,Epoch,Training loss
1,11,1,0.01288356681357288
1,11,2,0.003934298330761916
1,11,3,0.0035042949548350338
2,22,1,0.013042540959003052
2,22,2,0.0035740640384878167
2,22,3,0.0034126528440380924
3,33,1,0.012753715049239903
3,33,2,0.0037116390819542573
3,33,3,0.003442110206114346
4,44,1,0.011074786364700492
4,44,2,0.003607539619290681
4,44,3,0.003413893283394855
5,55,1,0.011662285651906626
5,55,2,0.0036443082120876024
5,55,3,0.0034310341414232966
