Condition,Mean error across runs (px),SD across runs (px),Mean PCK@5 across runs (%),SD PCK@5 across runs,Mean paired change vs baseline (px),SD paired change (px),Runs with increased error (%)
Baseline,2.8222196836157774,1.958403270889253,87.2991476875786,14.91731115072031,0.0,0.0,
Mild Gaussian Blur,3.7765958674302085,1.6756816219651933,79.43272320804806,12.535688005792194,0.9543761838144302,0.536776719052978,100.0
Strong Gaussian Blur,9.894575551977342,2.574486827180298,46.72348749476037,11.117009821564958,7.072355868361564,1.0703664002908488,100.0
Gaussian Noise,34.79345587212648,32.513867376022674,36.26938661450329,21.116750156292724,31.971236188510705,32.5785687142878,100.0
Brightness,3.7875447880700754,1.0817158098113835,78.19756881374879,7.887853868736746,0.9653251044542973,0.9229152368502015,80.0
Contrast,2.935766607292936,1.8792232374692746,87.56182758138884,14.0712906346335,0.1135469236771586,0.15338631296714833,80.0
Central Occlusion,49.98479929404912,7.084711827225915,0.06706720693027805,0.07614601980404478,47.16257961043334,6.909116857280391,100.0
